"dim_1","dim_2","gene"
0,45,"PB1_701P"
0,90,"PB1_701P"
0,104,"Col4a1"
0,153,"PB1-P701H"
0,174,"PB1-P701H"
0,292,"PB1-P701H"
0,493,"PB1_701P"
0,581,"Fn1"
0,859,"PB1_701P"
0,869,"PB1-P701H"
0,936,"PB1_701P"
0,948,"PB1-P701H"
0,975,"PB1_701P"
0,1003,"Col4a2"
0,1013,"PB1_701P"
1,48,"PB1_701P"
1,346,"PB1-P701H"
1,557,"PB1_701P"
2,156,"PB1-P701H"
2,162,"Fn1"
2,258,"PB1_701P"
3,86,"Lamc1"
3,109,"PB1_701P"
3,272,"Fn1"
3,588,"Lamc1"
3,903,"Lamc1"
3,984,"PB1_701P"
3,1000,"PB1_701P"
4,52,"PB1_701P"
4,80,"Ifit2"
4,104,"PB1_701P"
4,180,"PB1-P701H"
4,562,"Col4a1"
4,944,"PB1-P701H"
4,977,"Col4a2"
4,998,"Col4a2"
5,158,"Fn1"
5,934,"Ifit2"
6,55,"Col4a1"
6,147,"Fn1"
6,164,"Fn1"
6,176,"PB1-P701H"
6,570,"Col4a1"
7,88,"PB1_701P"
7,267,"PB1_701P"
7,555,"Col4a1"
8,59,"Ifit2"
8,105,"Ifit2"
8,110,"Col4a1"
8,119,"PB1_701P"
8,160,"Fn1"
8,167,"PB1-P701H"
8,598,"PB1-P701H"
8,1006,"PB1_701P"
9,83,"Fn1"
9,152,"Fn1"
9,156,"PB1-P701H"
9,164,"PB1-P701H"
9,184,"Fn1"
9,291,"Col4a1"
9,604,"unknow"
9,636,"PB1_701P"
9,992,"PB1_701P"
9,1009,"PB1_701P"
10,90,"PB1_701P"
10,142,"PB1_701P"
10,561,"Col4a2"
10,940,"PB1_701P"
10,968,"PB1_701P"
10,973,"PB1_701P"
10,999,"PB1_701P"
11,54,"PB1_701P"
11,59,"PB1_701P"
11,63,"PB1_701P"
11,85,"PB1-P701H"
11,127,"PB1-P701H"
11,158,"PB1-P701H"
11,175,"PB1-P701H"
11,602,"Ifit3"
11,607,"PB1_701P"
11,832,"PB1-P701H"
11,835,"Fn1"
12,66,"PB1_701P"
12,77,"Col4a1"
12,94,"Col4a1"
12,99,"Col4a2"
12,105,"PB1_701P"
12,123,"PB1_701P"
12,561,"Col4a2"
12,984,"PB1_701P"
13,82,"PB1-P701H"
13,119,"Lamc1"
13,126,"PB1-P701H"
13,839,"PB1-P701H"
13,1092,"Ifit3"
13,1098,"Col4a1"
13,1109,"PB1-P701H"
13,1114,"unknow"
13,1119,"PB1-P701H"
13,1121,"PB1-P701H"
13,1155,"PB1_701P"
13,1257,"PB1_701P"
13,1260,"PB1-P701H"
13,1350,"Ifit2"
13,1361,"Col4a1"
13,1412,"PB1_701P"
13,1416,"PB1_701P"
13,1447,"PB1_701P"
13,1932,"PB1_701P"
14,72,"PB1-P701H"
14,97,"PB1-P701H"
14,136,"Ifit3"
14,143,"Col4a1"
14,164,"Fn1"
14,212,"Col4a2"
14,1101,"PB1-P701H"
14,1141,"PB1_701P"
14,1150,"Ifit2"
14,1268,"PB1-P701H"
14,1422,"PB1_701P"
14,1442,"PB1_701P"
14,1491,"PB1-P701H"
14,1495,"PB1-P701H"
14,1508,"Fn1"
14,1775,"Ifit2"
14,1830,"Ifit2"
14,1859,"PB1-P701H"
14,1929,"unknow"
14,1935,"PB1_701P"
15,178,"PB1-P701H"
15,190,"Fn1"
15,946,"PB1_701P"
15,1009,"Lamc1"
15,1107,"PB1_701P"
15,1158,"Col4a1"
15,1486,"Fn1"
16,95,"Fn1"
16,102,"PB1_701P"
16,112,"Col4a1"
16,184,"PB1-P701H"
16,352,"Lamc1"
16,609,"Col4a1"
16,997,"Col4a1"
16,1182,"Col4a2"
16,1186,"Ifit2"
16,1200,"PB1_701P"
16,1213,"PB1_701P"
16,1253,"PB1_701P"
16,1262,"PB1-P701H"
16,1309,"unknow"
16,1414,"PB1_701P"
16,1515,"Fn1"
16,1680,"Fn1"
16,1759,"Lamc1"
16,1925,"PB1-P701H"
16,1939,"PB1_701P"
